"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",18.2042823388085,-0.0936207958668674,0.413779055456871,-0.226257937979719,0.821000810742823,0.92460664741283
"LOC729737",36.1907069850641,0.371139144661396,0.945412173805776,0.392568611812314,0.694638126260998,0.848984275646219
"LOC100133331",14.0189978046143,0.442647621670609,0.365127155723292,1.21231087508064,0.225393402538395,0.443179191136202
"LOC100288069",5.59887378281897,0.379977481257318,0.365082831370716,1.04079800145813,0.297969307807056,0.528207494271054
"LINC00115",45.5308632444499,3.03403715305419,0.670660144341583,4.52395625213847,6.0694275083438e-06,0.00013070735218038
"SAMD11",219.518333293009,-0.613093434053883,0.874509511614385,-0.701071201526538,0.483258581543161,0.703657900705873
"NOC2L",744.190306420237,-0.85054092012942,0.219514674824934,-3.87464264431404,0.00010678128081827,0.00130447910878464
"KLHL17",87.4698714671967,-0.253500955908518,0.319569687507352,-0.793257201225278,0.427627986848367,0.65585843625576
"PLEKHN1",43.3728162265459,0.304915852074777,0.333198550217887,0.915117583421009,0.360129905042785,0.594258433788931
"HES4",136.42268887158,0.545942621160503,0.498592603051679,1.09496734973406,0.273530940879531,0.500661902515204
"ISG15",796.166084777625,2.65134724031252,0.830786239356666,3.1913711550707,0.00141599251223009,0.0103610347490087
"AGRN",4398.90106363916,-0.0228001445490094,0.342244952561046,-0.066619374159923,0.946884721659435,0.98237866318362
"RNF223",10.7025613385609,0.254173668105886,1.52358314885354,0.166826253163239,0.867506761116911,0.94770825862677
"C1orf159",88.9540629444868,-0.791053893294084,0.357318560616069,-2.21386174826797,0.0268382907981443,0.0986548629788793
"MIR200A",0.523063527126709,-1.78393734198987,2.12261347239367,-0.840443804390879,0.400659597277315,NA
"MIR429",1.53747888634065,1.55143079561783,1.27499956801507,1.21680887942033,0.223676940842311,0.440941695943543
"TTLL10",0.347545228821486,-0.02897930974422,1.82017238813293,-0.01592118962641,0.987297265266999,NA
"TNFRSF18",1.47223370127832,0.163834243923517,1.56413434896479,0.104744355260755,0.916578665112808,0.969646598906687
"TNFRSF4",0.504789784179814,-0.94201682326345,1.45242596803512,-0.648581644775904,0.516608822828189,NA
"SDF4",1360.08804414538,-0.543059867125128,0.32831876401211,-1.65406283968923,0.0981147454272049,0.253792827952434
"B3GALT6",225.594013234264,-0.174906117894196,0.207146976790865,-0.844357569701732,0.398469624947441,0.629399830103799
"UBE2J2",234.306982563423,-0.121596394960558,0.150690565812971,-0.806927721749202,0.41970812628826,0.649019826399543
"SCNN1D",21.7930664754253,-0.354912037238701,0.494392282585857,-0.717875358778617,0.472834142603144,0.695302181286013
"ACAP3",197.47292999922,-0.712505589242544,0.286498751520165,-2.48694134079811,0.012884664201058,0.0563699947852863
"PUSL1",110.080841535548,-0.582416524001188,0.361346564560852,-1.61179482834991,0.107006593952244,0.26915460623627
"TAS1R3",1.81467362621246,0.0605848255850068,0.96556633228571,0.0627453791202403,0.949969261248091,0.983413727930586
"DVL1",581.581563854862,-0.0556597284350755,0.262640551644343,-0.211923589432784,0.832166646850056,0.930342222033659
"MXRA8",8.6962155983275,1.32151439600453,0.744573649072392,1.77486054959225,0.0759209156037317,0.21188124028263
"AURKAIP1",490.44679363867,-0.9707531482208,0.269581060173846,-3.60096939894362,0.000317032894015958,0.003171758856563
"CCNL2",793.208088940863,-0.0497725943456444,0.225705277533451,-0.220520294826814,0.825465968389567,0.926472437250591
"LOC148413",146.43067874263,-0.131790421448446,0.142314997793993,-0.926047313995804,0.354421392339109,0.589386415213597
"MRPL20",447.984349299277,-0.710251713829427,0.145183068489376,-4.89211118913222,9.97600563763851e-07,2.85656566813515e-05
"ANKRD65",0.382572329347551,-1.22920549038793,2.54693920971035,-0.482620663147951,0.629365104722919,NA
"VWA1",388.510085773149,-1.24326025808273,0.68927290756875,-1.80372715136599,0.0712740909408864,0.202761599494163
"ATAD3C",1.51738949961865,-0.410631883319589,1.72815311591524,-0.237613137133463,0.812181160349176,0.920424558553511
"ATAD3B",45.4357602456301,-0.760283655490279,0.719256884315228,-1.05704049842235,0.290493104906511,0.520420726881666
"ATAD3A",237.924794353019,-0.920452556453916,0.317223912497284,-2.90158629344122,0.00371278505355738,0.0219195488694241
"TMEM240",2.84079663803232,-1.03497749034648,0.824085135452778,-1.25591088325823,0.209148282251622,0.423119919025529
"SSU72",715.674516985977,-0.060190696472932,0.167770203555422,-0.358768691921199,0.719768135741265,0.866031632190924
"MIB2",199.488158834404,-0.223536617801683,0.396622518762592,-0.563600419106526,0.573026101535855,0.770667411756413
"CDK11B",163.936826083235,-0.104223607815327,0.126656621221438,-0.822883216133718,0.410574408040352,0.640359214554632
"SLC35E2B",286.707086546807,-0.116841948711899,0.164040044331951,-0.712276988144786,0.476293270967223,0.698065597110611
"CDK11A",90.0043810582414,0.238022675238426,0.19925927887868,1.19453747187024,0.232267791865164,0.451762746372342
"NADK",366.672903171025,-0.0169823919847783,0.213260929847183,-0.0796319888361519,0.936529952584283,0.977392745731707
"GNB1",2200.37931630584,-0.010770790016004,0.180449315340477,-0.0596887275281779,0.952403549857322,0.984370787122195
"CALML6",3.26069616180775,-0.230727837427221,0.692284320286508,-0.333284794507165,0.738919316137664,0.877290122470523
"TMEM52",4.5240910872754,-1.11039468831709,0.49136434652473,-2.25981941134022,0.0238324611546114,0.0903453188783706
"GABRD",2.06216633686381,-0.616501957779357,0.984721614226475,-0.626067254818648,0.531270829044747,0.741020675761568
"PRKCZ",137.711041654037,-0.376819978161468,0.197383047043949,-1.90907975028659,0.0562518045491174,0.171326357244831
"SKI",238.673320601526,0.211510346440146,0.195661890609791,1.08099919601595,0.279697471266672,0.507818362530124
"MORN1",39.9333747112704,-0.391568146428183,0.213054231136085,-1.83788016947702,0.0660800648332494,0.192120506111674
"LOC100129534",11.1162750432406,-1.06907841352801,0.34560430096604,-3.0933596906627,0.00197904110377436,0.0135070642717822
"RER1",778.700916189783,-0.39506202589241,0.146537519782096,-2.69597865775179,0.00701821632161072,0.0354274326390318
"PEX10",173.63661998501,-0.224131855487181,0.282927206731157,-0.792189121989092,0.428250410412446,0.656151975772059
"PLCH2",6.12612631853086,1.16035904167813,0.684892680568724,1.69422024004489,0.0902234401438063,0.239633827422662
"PANK4",114.15435343727,0.0983161580990377,0.209071993792225,0.470250253588454,0.638176234242309,0.814624051711867
"HES5",0,NA,NA,NA,NA,NA
"TNFRSF14",11.5235491587011,-2.38157165416007,1.41005538647217,-1.68899156516011,0.0912210463942778,0.241405494782017
"FAM213B",194.487281738472,-0.818427591778895,0.472964266942002,-1.73042161740996,0.0835549743162513,0.227365794797493
"MMEL1",4.37650563588769,0.0367477463289553,1.72901227278674,0.0212536064129417,0.983043352188924,0.995818131843505
"TTC34",0.129213957001281,-0.269432531984776,3.00317535619469,-0.0897158840322172,0.928512993212488,NA
"PRDM16",7.00145203171087,1.76811844819467,0.614594384642452,2.876886760401,0.00401619691810577,0.0231475462314136
"ARHGEF16",102.341525964365,-0.271640086655731,0.611027586983719,-0.44456272096757,0.65663579290313,0.825678017597029
"MEGF6",121.785929223442,-0.434824742365458,0.490420729967558,-0.886636138717511,0.375274830630636,0.608616283183819
"TPRG1L",306.581503835026,-0.516783092117508,0.191789621854069,-2.69453105502613,0.00704877577257945,0.035546675677619
"WRAP73",140.914222356488,0.0504511396019568,0.156314077976696,0.322754931961267,0.746880846848188,0.881892738009329
"TP73",8.49181805336244,-0.729547154646598,0.659510637282633,-1.10619467436118,0.268642267467071,0.494453353124846
"TP73-AS1",122.091481419116,-0.0939356078905207,0.202379351093975,-0.464156087974122,0.64253591961749,0.817289688203553
"SMIM1",7.17969585670933,-0.0124382635944247,0.736539451427906,-0.0168874370141492,0.986526415149827,0.997382188307811
"LRRC47",421.260743665419,-0.349021102997075,0.118191879813243,-2.95300407734074,0.00314697806373062,0.019228808004054
"CEP104",197.226533827905,-0.140773305946159,0.119747678318512,-1.17558275803663,0.239761648834671,0.461806917184339
"DFFB",29.5849353350689,-0.522905587773892,0.35074480364126,-1.49084343472902,0.136002605173512,0.318220682719879
"C1orf174",136.374653511525,-0.193018646863661,0.190325544602427,-1.01414997795939,0.310511193245736,0.541841683246408
"AJAP1",0,NA,NA,NA,NA,NA
"NPHP4",61.5876247122073,-0.640537316636879,0.227739953255338,-2.81258210288082,0.00491454753536839,0.0270942169479551
"KCNAB2",157.992297306644,-1.03304117437392,0.352710234061057,-2.9288664592451,0.00340200547068874,0.0204581483126972
"CHD5",7.77637548560123,0.16855894331649,0.835355498743413,0.201781090290356,0.8400878652375,0.933645919463107
"RPL22",2052.5828992859,-0.0643369833744539,0.117185873366146,-0.549016545479281,0.582994095299122,0.777676058222463
"RNF207",158.211004940482,-0.0399512618472828,0.218912294118078,-0.182498940994761,0.855191185367264,0.941207367110683
"ICMT",720.23517464274,-0.843507518123489,0.203136000200767,-4.15242752289017,3.28966957334264e-05,0.000508245765823793
"GPR153",37.3667638666435,-0.512772107700598,0.598865499475367,-0.856239185843582,0.39186549174409,0.623794903661112
"ACOT7",420.845148459908,-0.871877921017628,0.198357942436031,-4.39547774245946,1.10529389662201e-05,0.000207019280251508
"HES2",28.003367044437,0.0264428339189364,0.610575259599143,0.0433080664557172,0.965455961155174,0.989506293343479
"ESPN",6.57875968847121,-0.189461045037303,1.34325028509778,-0.141046718648945,0.887833035083085,0.956986014282198
"TNFRSF25",12.563877326162,1.05806387857103,0.521976699852784,2.02703277535077,0.0426590609083398,0.139651536732826
