Rank,Score,Type,ID,Name,Description
8559,-99.37,kd,CGS001-6856,SYPL1,-
8558,-99.34,kd,CGS001-4712,NDUFB6,Mitochondrial respiratory chain complex / Complex I
8557,-99.12,cp,BRD-K49865102,PD-0325901,MEK inhibitor
8556,-99.08,kd,CGS001-23429,RYBP,-
8555,-99.01,cp,BRD-K74236984,UNC-0321,Histone lysine methyltransferase inhibitor
8554,-98.95,kd,CGS001-56834,GPR137,GPCR / Unclassified : 7TM orphan receptors
8553,-98.92,kd,CGS001-9128,PRPF4,WD repeat domain containing
8552,-98.7,cp,BRD-K62810658,PD-98059,MEK inhibitor
8550,-98.69,cc,,MEK inhibitor,-
8551,-98.69,kd,CGS001-930,CD19,CD molecules
8549,-98.66,kd,CGS001-8477,GPR65,GPCR / Class A : Orphans
8548,-98.63,cp,BRD-K12244279,MEK1-2-inhibitor,MEK inhibitor
8547,-98.53,kd,CGS001-3576,IL8,-
8546,-98.45,cp,BRD-K48722833,iloperidone,Dopamine receptor antagonist
8545,-98.37,kd,CGS001-22934,RPIA,-
8544,-98.31,cp,BRD-U73238814,QL-XI-92,DDR1 inhibitor
8543,-98.21,kd,CGS001-8148,TAF15,RNA binding motif (RRM) containing
8542,-98.13,cp,BRD-A11702965,chromomycin-a3,DNA binding agent
8541,-98,cp,BRD-U88459701,atorvastatin,HMGCR inhibitor
8540,-97.98,kd,CGS001-10336,PCGF3,Polycomb group ring fingers
8539,-97.97,kd,CGS001-4047,LSS,Lanosterol biosynthesis pathway
8538,-97.87,kd,CGS001-2920,CXCL2,Endogenous ligands
8537,-97.63,kd,CGS001-894,CCND2,-
8536,-97.59,cp,BRD-K41895714,AS-605240,PI3K inhibitor
8535,-97.57,kd,CGS001-3654,IRAK1,Interleukin-1 receptor-associated kinase (IRAK) family
8534,-97.53,kd,CGS001-9170,LPAR2,GPCR / Class A : Lysophospholipid receptors : Lysophosphatidic acid
8533,-97.37,kd,CGS001-23039,XPO7,Exportins
8532,-97.36,kd,CGS001-27102,EIF2AK1,Other PEK family kinases
8531,-97.3,kd,CGS001-5029,P2RY2,"GPCR / Class A : Purinergic receptors, P2Y"
8530,-97.29,kd,CGS001-8864,PER2,-
8529,-97.18,kd,CGS001-10447,FAM3C,-
8528,-97.13,cp,BRD-A13122391,triptolide,RNA polymerase inhibitor
8527,-97.03,kd,CGS001-23636,NUP62,-
8526,-96.89,kd,CGS001-10892,MALT1,Immunoglobulin superfamily / Immunoglobulin-like domain containing
8525,-96.63,kd,CGS001-688,KLF5,Kruppel-like transcription factors
8524,-96.62,cp,BRD-U51951544,ZG-10,JNK inhibitor
8522,-96.6,kd,CGS001-1457,CSNK2A1,Casein kinase 2 (CK2) family
8523,-96.6,kd,CGS001-468,ATF4,basic leucine zipper proteins
8521,-96.48,cp,BRD-M16762496,PIK-75,DNA protein kinase inhibitor
8520,-96.43,cp,BRD-K21680192,mitoxantrone,Topoisomerase inhibitor
8519,-96.36,kd,CGS001-3373,HYAL1,-
8518,-96.35,oe,ccsbBroad304_01061,NAB2,-
8517,-96.22,cp,BRD-K53414658,tivozanib,VEGFR inhibitor
8516,-96.02,kd,CGS001-3597,IL13RA1,IL-2 receptor family
8515,-95.88,cp,BRD-K57080016,selumetinib,MEK inhibitor
8514,-95.87,cp,BRD-K29113274,ketoconazole,Sterol demethylase inhibitor
8513,-95.81,cp,BRD-K55127134,fluphenazine,Dopamine receptor antagonist
8512,-95.59,kd,CGS001-23013,SPEN,RNA binding motif (RRM) containing
8511,-95.58,kd,CGS001-10342,TFG,-
8510,-95.52,oe,ccsbBroad304_06198,FCGR2A,CD molecules
8509,-95.45,cp,BRD-K19540840,saracatinib,SRC inhibitor
8508,-95.4,cp,BRD-K68202742,trichostatin-a,HDAC inhibitor
8507,-95.26,cp,BRD-K74761218,WT-171,HDAC inhibitor
8506,-95.17,cp,BRD-U44618005,WH-4023,SRC inhibitor
8505,-95.11,cc,,SRC inhibitor,-
8504,-95.06,cp,BRD-K14965640,ibuprofen,Cyclooxygenase inhibitor
8503,-94.87,cp,BRD-K59184148,SB-216763,Glycogen synthase kinase inhibitor
8502,-94.86,kd,CGS001-25805,BAMBI,-
8501,-94.8,kd,CGS001-9124,PDLIM1,-
8500,-94.72,kd,CGS001-8835,SOCS2,SH2 domain containing
8499,-94.44,kd,CGS001-5526,PPP2R5B,"Serine/threonine phosphatases / Protein phosphatase 2, regulatory subunits"
8498,-94.27,kd,CGS001-51135,IRAK4,Interleukin-1 receptor-associated kinase (IRAK) family
8497,-94.13,kd,CGS001-5867,RAB4A,"RAB, member RAS oncogene"
8496,-94.11,kd,CGS001-9231,DLG5,-
8495,-93.94,kd,CGS001-85377,MICALL1,-
