"","cov"
"IL1A",5.0944528681496
"CXCL2",4.16775429449694
"TNFAIP3",3.97966131600315
"MAFF",4.00542532407891
"PPP1R15A",3.65661082885781
"NFKBIA",3.65420357957561
"PTX3",3.83000048276654
"CXCL3",3.59226106096558
"CCL20",3.84337844955703
"IFIT2",3.83709639432909
"ARRDC3",3.45467903549652
"EREG",3.48335155786016
"ARSE",-1.82634901829585
"MAP2K6",-2.11619352839667
"DHCR7",-1.78033771609172
"UCP2",-1.92482065109129
"SLC25A10",-1.98531707039998
"VIL1",-1.84048034788862
"MCM5",-1.91825171469331
"DHCR24",-1.63765981411888
"SLC9A3R1",-1.53203531064904
"PFN1",-1.639764610353
"TPPP3",-1.95289657319022
"DEGS2",-1.65229076160107
"RAB26",-1.70674970031033
